Sheet Name,Finca Time,Isabelgroup Time,Freetime Time,Finca Percentage,Isabelgroup Percentage,Freetime Percentage,Work Description,Billed Hours,Work date
01-24-tempo,52,92,32,29.54545455,52.27272727,18.18181818,Clearnox - Add info to the footer,1,2024-01-08 12:00
,,,,,,,Flowin - New features and check website,3,2024-01-08 14:00
,,,,,,,Flowin - Video,2,2024-01-10 11:00
,,,,,,,Flowin - Fixing video design on mobile and desktop,2,2024-01-12 15:00
,,,,,,,Ponto - New Layout for the api page,4,2024-01-15 13:00
,,,,,,,"Flowin - new single page: (recent post, layout like ponto)",5,2024-01-16 12:00
,,,,,,,Flowin: meeting with Adrien,0.5,2024-01-18 11:00
,,,,,,,Flowin: sharethis script for single post,3,2024-01-18 12:00
,,,,,,,Flowin - Blog and Archive page,2,2024-01-22 09:00
,,,,,,,Flowin - Blog and Archive page,3,2024-01-22 14:00
,,,,,,,Flowin - Blog and archive page,2.5,2024-01-23 09:00
,,,,,,,Flowin - Add video in different languages with different subtitles (home),2,2024-01-23 13:00
,,,,,,,Flowin - Blog and archive page,2,2024-01-23 15:00
,,,,,,,"Flowin - Multi level menu for desktop and mobile (internal links, external links, parent links)",2.5,2024-01-25 09:00
,,,,,,,Flowin - Last minute changes for Suzanne (guide and press release),3,2024-01-25 12:00
,,,,,,,"Flowin - Multi level menu for desktop and mobile (internal links, external links, parent links)",2,2024-01-25 15:00
,,,,,,,Flowin - Acc for blog and archive page and multi-menu links,2.5,2024-01-26 09:00
,,,,,,,Flowin - Acc for blog and archive page and multi-menu links,2,2024-01-26 13:00
,,,,,,,Flowin - Add linkedin platform in the website on prod (3 languages),2,2024-01-26 15:00
,,,,,,,Clearnox calculator - Kick off meeting,1,2024-01-30 14:30
,,,,,,,Clearnox Calculator - Kick off project,1.5,2024-01-30 15:30
,,,,,,,Clearnox - Analysis functionality (xlsx and mockups),3.5,2024-01-31 13:30
02-24-tempo,69,99,0,41.07142857,58.92857143,0,Clearnox - Calculator (set up project),2.5,2024-02-01 09:00
,,,,,,,Clearnox - Calculator,1,2024-02-01 16:00
,,,,,,,Digicrowd - Update System (legacy and problems),2.5,2024-02-02 09:00
,,,,,,,Clearnox Calculator - setup,3,2024-02-02 14:00
,,,,,,,Cleanox - Password protected page issue,1,2024-02-05 09:00
,,,,,,,Clearnox - Calculator,3,2024-02-05 14:00
,,,,,,,Cleanox - Protected page style,2.5,2024-02-06 09:00
